t:0.0001,S:4.364237169313535,Sloc:4.364237169313535,Sloc(species):0.0,Sum:4.364237169313535
t:0.0002,S:4.363863031155568,Sloc:4.363863031155568,Sloc(species):0.0,Sum:4.363863031155568
t:0.0003,S:4.363863031155568,Sloc:4.363863031155568,Sloc(species):0.0,Sum:4.363863031155568
t:0.0004,S:4.363863031155568,Sloc:4.363863031155568,Sloc(species):0.0,Sum:4.363863031155568
t:0.0005,S:4.3639907490274945,Sloc:4.3639907490274945,Sloc(species):0.0,Sum:4.3639907490274945
t:0.0006,S:4.363816056027549,Sloc:4.363816056027549,Sloc(species):0.0,Sum:4.363816056027549
t:0.0007,S:4.363816056027549,Sloc:4.363816056027549,Sloc(species):0.0,Sum:4.363816056027549
t:0.0008,S:4.363771627908915,Sloc:4.363771627908915,Sloc(species):0.0,Sum:4.363771627908915
t:0.0009,S:4.363771627908915,Sloc:4.363771627908915,Sloc(species):0.0,Sum:4.363771627908915
t:0.001,S:4.363771627908915,Sloc:4.363771627908915,Sloc(species):0.0,Sum:4.363771627908915
t:0.0011,S:4.364001114851712,Sloc:4.364001114851712,Sloc(species):0.0,Sum:4.364001114851712
t:0.0012,S:4.364001114851712,Sloc:4.364001114851712,Sloc(species):0.0,Sum:4.364001114851712
t:0.0013,S:4.364228352056244,Sloc:4.364228352056244,Sloc(species):0.0,Sum:4.364228352056244
t:0.0014,S:4.364228352056244,Sloc:4.364228352056244,Sloc(species):0.0,Sum:4.364228352056244
t:0.0015,S:4.364379592447421,Sloc:4.364379592447421,Sloc(species):0.0,Sum:4.364379592447421
t:0.0016,S:4.364379592447421,Sloc:4.364379592447421,Sloc(species):0.0,Sum:4.364379592447421
t:0.0017,S:4.364087231112905,Sloc:4.364087231112905,Sloc(species):0.0,Sum:4.364087231112905
t:0.0018,S:4.364087231112905,Sloc:4.364087231112905,Sloc(species):0.0,Sum:4.364087231112905
t:0.0019,S:4.364087231112905,Sloc:4.364087231112905,Sloc(species):0.0,Sum:4.364087231112905
t:0.002,S:4.364087231112905,Sloc:4.364087231112905,Sloc(species):0.0,Sum:4.364087231112905
t:0.0021,S:4.364277797474043,Sloc:4.364277797474043,Sloc(species):0.0,Sum:4.364277797474043
t:0.0022,S:4.364277797474043,Sloc:4.364277797474043,Sloc(species):0.0,Sum:4.364277797474043
t:0.0023,S:4.364110130042609,Sloc:4.364110130042609,Sloc(species):0.0,Sum:4.364110130042609
t:0.0024,S:4.364110130042609,Sloc:4.364110130042609,Sloc(species):0.0,Sum:4.364110130042609
t:0.0025,S:4.364110130042609,Sloc:4.364110130042609,Sloc(species):0.0,Sum:4.364110130042609
t:0.0026,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0027,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0028,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0029,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.003,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0031,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0032,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0033,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0034,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0035,S:4.364329251161189,Sloc:4.364329251161189,Sloc(species):0.0,Sum:4.364329251161189
t:0.0036,S:4.364408291956345,Sloc:4.364408291956345,Sloc(species):0.0,Sum:4.364408291956345
t:0.0037,S:4.364408291956345,Sloc:4.364408291956345,Sloc(species):0.0,Sum:4.364408291956345
t:0.0038,S:4.364408291956345,Sloc:4.364408291956345,Sloc(species):0.0,Sum:4.364408291956345
t:0.0039,S:4.364602740624118,Sloc:4.364602740624118,Sloc(species):0.0,Sum:4.364602740624118
t:0.004,S:4.364829977828649,Sloc:4.364829977828649,Sloc(species):0.0,Sum:4.364829977828649
t:0.0041,S:4.364886342800277,Sloc:4.364886342800277,Sloc(species):0.0,Sum:4.364886342800277
t:0.0042,S:4.364886342800277,Sloc:4.364886342800277,Sloc(species):0.0,Sum:4.364886342800277
t:0.0043,S:4.364942707771905,Sloc:4.364942707771905,Sloc(species):0.0,Sum:4.364942707771905
t:0.0044,S:4.364942707771905,Sloc:4.364942707771905,Sloc(species):0.0,Sum:4.364942707771905
t:0.0045,S:4.364748259104133,Sloc:4.364748259104133,Sloc(species):0.0,Sum:4.364748259104133
t:0.0046,S:4.364748259104133,Sloc:4.364748259104133,Sloc(species):0.0,Sum:4.364748259104133
t:0.0047,S:4.364633280141848,Sloc:4.364633280141848,Sloc(species):0.0,Sum:4.364633280141848
t:0.0048,S:4.364633280141848,Sloc:4.364633280141848,Sloc(species):0.0,Sum:4.364633280141848
t:0.0049,S:4.364722604053778,Sloc:4.364722604053778,Sloc(species):0.0,Sum:4.364722604053778
t:0.005,S:4.364722604053778,Sloc:4.364722604053778,Sloc(species):0.0,Sum:4.364722604053778
t:0.0051,S:4.364722604053778,Sloc:4.364722604053778,Sloc(species):0.0,Sum:4.364722604053778
t:0.0052,S:4.364722604053778,Sloc:4.364722604053778,Sloc(species):0.0,Sum:4.364722604053778
t:0.0053,S:4.36468965532759,Sloc:4.36468965532759,Sloc(species):0.0,Sum:4.36468965532759
t:0.0054,S:4.364701965326901,Sloc:4.364701965326901,Sloc(species):0.0,Sum:4.364701965326901
t:0.0055,S:4.364481904591041,Sloc:4.364481904591041,Sloc(species):0.0,Sum:4.364481904591041
t:0.0056,S:4.364506151443346,Sloc:4.364506151443346,Sloc(species):0.0,Sum:4.364506151443346
t:0.0057,S:4.364506151443346,Sloc:4.364506151443346,Sloc(species):0.0,Sum:4.364506151443346
t:0.0058,S:4.364506151443346,Sloc:4.364506151443346,Sloc(species):0.0,Sum:4.364506151443346
t:0.0059,S:4.364274720325454,Sloc:4.364274720325454,Sloc(species):0.0,Sum:4.364274720325454
t:0.006,S:4.364274720325454,Sloc:4.364274720325454,Sloc(species):0.0,Sum:4.364274720325454
t:0.0061,S:4.364053042116312,Sloc:4.364053042116312,Sloc(species):0.0,Sum:4.364053042116312
t:0.0062,S:4.364210063498772,Sloc:4.364210063498772,Sloc(species):0.0,Sum:4.364210063498772
t:0.0063,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0064,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0065,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0066,S:4.364011217168451,Sloc:4.364011217168451,Sloc(species):0.0,Sum:4.364011217168451
t:0.0067,S:4.363773333914944,Sloc:4.363773333914944,Sloc(species):0.0,Sum:4.363773333914944
t:0.0068,S:4.363773333914944,Sloc:4.363773333914944,Sloc(species):0.0,Sum:4.363773333914944
t:0.0069,S:4.3636605110501305,Sloc:4.3636605110501305,Sloc(species):0.0,Sum:4.3636605110501305
t:0.007,S:4.363681397599376,Sloc:4.363681397599376,Sloc(species):0.0,Sum:4.363681397599376
t:0.0071,S:4.363681397599376,Sloc:4.363681397599376,Sloc(species):0.0,Sum:4.363681397599376
t:0.0072,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0073,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0074,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
t:0.0075,S:4.363535318064545,Sloc:4.363535318064545,Sloc(species):0.0,Sum:4.363535318064545
